label,kind,n_prompt,n_gen,target,weights_id,max_context,prefill_chunk,mtp_draft_tokens,proposal_head,decode_path,kv_cache,kv_payload_bytes,load_host_to_device_bytes,weights_capacity_bytes,sequence_capacity_bytes,workspace_capacity_bytes,request_transient_capacity_bytes,cuda_graph_allowance_bytes,workspace_peak_bytes,workspace_allocator_peak_bytes,spec_rounds,spec_fallback_steps,spec_acceptance_rate,repetitions,prefill_tok_s_mean,prefill_tok_s_stddev,decode_output_tok_s_mean,decode_output_tok_s_stddev,decode_engine_tok_s_mean,decode_engine_tok_s_stddev,prepare_seconds_mean,prefill_seconds_mean,decode_seconds_mean,total_seconds_mean
pp512,pp,512,0,qwen3_8_27b,folded-ternary,2048,1024,0,full,cuda_graph,bf16,134217728,7189880832,7189886976,454642432,180953088,0,67108864,180953088,90476544,0,0,,5,260.4894348,16.2271652,,,,,9.232e-06,1.971903481,,1.971958882
pp2048,pp,2048,0,qwen3_8_27b,folded-ternary,2048,1024,0,full,cuda_graph,bf16,134217728,7189880832,7189886976,454642432,180953088,0,67108864,180953088,180953088,0,0,,5,291.809403,6.731325856,,,,,1.73982e-05,7.021274817,,7.021367156
tg128,tg,0,128,qwen3_8_27b,folded-ternary,2048,1024,0,full,cuda_graph,bf16,134217728,7189880832,7189886976,454642432,180953088,0,67108864,180953088,142336,0,0,,5,,,49.88202179,11.31477079,49.88202179,11.31477079,3.4226e-06,,2.654466143,2.698599652
pp512+tg128,pp+tg,512,128,qwen3_8_27b,folded-ternary,2048,1024,0,full,cuda_graph,bf16,134217728,7189880832,7189886976,454642432,180953088,0,67108864,180953088,90476544,0,0,,5,258.7813021,18.95249612,45.19453224,1.256923821,45.19453224,1.256923821,1.19352e-05,1.987625261,2.833942628,4.822536027
