case,suite,label,kind,n_prompt,n_gen,target,weights_id,max_context,prefill_chunk,mtp_draft_tokens,proposal_head,decode_path,kv_cache,kv_payload_bytes,load_host_to_device_bytes,weights_capacity_bytes,sequence_capacity_bytes,workspace_capacity_bytes,request_transient_capacity_bytes,cuda_graph_allowance_bytes,workspace_peak_bytes,workspace_allocator_peak_bytes,spec_rounds,spec_fallback_steps,spec_acceptance_rate,repetitions,prefill_tok_s_mean,prefill_tok_s_stddev,decode_output_tok_s_mean,decode_output_tok_s_stddev,decode_engine_tok_s_mean,decode_engine_tok_s_stddev,prepare_seconds_mean,prefill_seconds_mean,decode_seconds_mean,total_seconds_mean
all__panel,all,pp512,pp,512,0,qwen3_8_27b,folded-ternary,2048,1024,0,full,cuda_graph,bf16,134217728,7189880832,7189886976,454642432,180953088,0,67108864,180953088,90476544,0,0,,5,260.4894348,16.2271652,,,,,9.232e-06,1.971903481,,1.971958882
all__panel,all,pp2048,pp,2048,0,qwen3_8_27b,folded-ternary,2048,1024,0,full,cuda_graph,bf16,134217728,7189880832,7189886976,454642432,180953088,0,67108864,180953088,180953088,0,0,,5,291.809403,6.731325856,,,,,1.73982e-05,7.021274817,,7.021367156
all__panel,all,tg128,tg,0,128,qwen3_8_27b,folded-ternary,2048,1024,0,full,cuda_graph,bf16,134217728,7189880832,7189886976,454642432,180953088,0,67108864,180953088,142336,0,0,,5,,,49.88202179,11.31477079,49.88202179,11.31477079,3.4226e-06,,2.654466143,2.698599652
all__panel,all,pp512+tg128,pp+tg,512,128,qwen3_8_27b,folded-ternary,2048,1024,0,full,cuda_graph,bf16,134217728,7189880832,7189886976,454642432,180953088,0,67108864,180953088,90476544,0,0,,5,258.7813021,18.95249612,45.19453224,1.256923821,45.19453224,1.256923821,1.19352e-05,1.987625261,2.833942628,4.822536027
all__prefill,all,pp512,pp,512,0,qwen3_8_27b,folded-ternary,8192,1024,0,full,cuda_graph,bf16,536870912,7189880832,7189886976,857295872,180953088,0,67108864,180953088,90476544,0,0,,5,261.2050423,12.4032654,,,,,8.8734e-06,1.963632028,,1.963680768
all__prefill,all,pp2048,pp,2048,0,qwen3_8_27b,folded-ternary,8192,1024,0,full,cuda_graph,bf16,536870912,7189880832,7189886976,857295872,180953088,0,67108864,180953088,180953088,0,0,,5,283.235488,4.779949188,,,,,1.38814e-05,7.232378434,,7.232437122
all__prefill,all,pp8192,pp,8192,0,qwen3_8_27b,folded-ternary,8192,1024,0,full,cuda_graph,bf16,536870912,7189880832,7189886976,857295872,180953088,0,67108864,180953088,180953088,0,0,,5,277.765527,2.098626288,,,,,4.78402e-05,29.49384741,,29.49397243
all__decode,all,tg128,tg,0,128,qwen3_8_27b,folded-ternary,513,1024,0,full,cuda_graph,bf16,37748736,7189880832,7189886976,352940800,90592256,0,67108864,90592256,142336,0,0,,5,,,66.84409731,10.9779019,66.84409731,10.9779019,8.038e-07,,1.961571287,1.97664567
all__decode,all,tg512,tg,0,512,qwen3_8_27b,folded-ternary,513,1024,0,full,cuda_graph,bf16,37748736,7189880832,7189886976,352940800,90592256,0,67108864,90592256,142336,0,0,,5,,,41.7878826,1.787403606,41.7878826,1.787403606,1.479e-06,,12.27009962,12.3936037
all__kv-bf16,all,pp512+tg128,pp+tg,512,128,qwen3_8_27b,folded-ternary,640,1024,0,full,cuda_graph,bf16,41943040,7189880832,7189886976,358435584,113095680,0,67108864,113095680,90476544,0,0,,5,690.9929196,233.483753,47.34445482,3.67031103,47.34445482,3.67031103,9.7916e-06,0.8755106976,2.716570781,3.592736618
all__kv-int8,all,pp512+tg128,pp+tg,512,128,qwen3_8_27b,folded-ternary,640,1024,0,full,cuda_graph,int8-group64,21626880,7189880832,7189886976,338119424,113095680,0,67108864,113095680,90476544,0,0,,5,656.3657407,252.671162,56.36165452,9.827473671,56.36165452,9.827473671,9.6592e-06,0.913313394,2.326588,3.2405023
all__kv-rk8v4,all,pp512+tg128,pp+tg,512,128,qwen3_8_27b,folded-ternary,640,1024,0,full,cuda_graph,rk8v4,16384000,7189880832,7189886976,332876544,113095680,0,67108864,113095680,90476544,0,0,,5,281.2631885,57.63348737,53.63778927,6.989623719,53.63778927,6.989623719,7.6492e-06,1.879080058,2.422798618,4.302518007
all__kv-rk4v4,all,pp512+tg128,pp+tg,512,128,qwen3_8_27b,folded-ternary,640,1024,0,full,cuda_graph,rk4v4,11141120,7189880832,7189886976,327633664,113095680,0,67108864,113095680,90476544,0,0,,5,254.0931147,27.22111079,47.81018782,7.258330742,47.81018782,7.258330742,9.3242e-06,2.032843615,2.719016609,4.752481173
all__kv-rk4v4-e8,all,pp512+tg128,pp+tg,512,128,qwen3_8_27b,folded-ternary,640,1024,0,full,cuda_graph,rk4v4-e8,11141120,7189880832,7189886976,327633664,113095680,0,67108864,113095680,90476544,0,0,,5,278.6176881,26.08579964,52.57630211,6.870901925,52.57630211,6.870901925,6.162e-06,1.851414155,2.468071612,4.320106624
all__kv-rk2v4-e8,all,pp512+tg128,pp+tg,512,128,qwen3_8_27b,folded-ternary,640,1024,0,full,cuda_graph,rk2v4-e8,8519680,7189880832,7189886976,325012224,113095680,0,67108864,113095680,90476544,0,0,,5,263.8814864,30.60435062,47.55121566,2.535472351,47.55121566,2.535472351,7.0958e-06,1.960907875,2.697819448,4.659376645
all__mtp-off,all,pp512+tg128,pp+tg,512,128,qwen3_8_27b,folded-ternary,640,1024,0,full,cuda_graph,bf16,41943040,7189880832,7189886976,358435584,113095680,0,67108864,113095680,90476544,0,0,,5,344.5676067,95.44467738,48.15600032,4.852771038,48.15600032,4.852771038,8.7752e-06,1.56501609,2.679258853,4.244984712
all__mtp-draft4,all,pp512+tg128,pp+tg,512,128,qwen3_8_27b,folded-ternary,648,1024,4,optimized,mtp_cuda_graph,bf16,49283072,7998188544,7998194688,377418496,114016768,0,268435456,114016768,90476544,280,0,0.3257918552,5,243.0272226,15.14836938,42.9519411,3.21191921,42.9519411,3.21191921,7.0042e-06,2.113435102,2.993165173,5.107085486
all__mtp-draft8-nograph,all,pp512+tg128,pp+tg,512,128,qwen3_8_27b,folded-ternary,656,1024,8,optimized,mtp_eager,bf16,49283072,7998188544,7998194688,386720512,114937344,0,0,114937344,90476544,280,0,0.1658986175,5,273.1519334,16.48152338,30.1950171,10.66451408,30.1950171,10.66451408,6.515e-06,1.879765333,4.549427573,6.429832692
all__graph-on,all,pp512+tg128,pp+tg,512,128,qwen3_8_27b,folded-ternary,640,1024,0,full,cuda_graph,bf16,41943040,7189880832,7189886976,358435584,113095680,0,67108864,113095680,90476544,0,0,,5,244.059207,20.90697682,44.73274969,3.317474946,44.73274969,3.317474946,7.3906e-06,2.109757991,2.873901675,4.984283142
all__graph-off,all,pp512+tg128,pp+tg,512,128,qwen3_8_27b,folded-ternary,640,1024,0,full,eager,bf16,41943040,7189880832,7189886976,358435584,113095680,0,0,113095680,90476544,0,0,,5,245.5971346,16.95976633,22.11831976,0.465312442,22.11831976,0.465312442,6.9656e-06,2.092909422,5.789088905,7.882886711
