label,kind,n_prompt,n_gen,target,weights_id,max_context,prefill_chunk,mtp_draft_tokens,proposal_head,decode_path,kv_cache,kv_payload_bytes,load_host_to_device_bytes,weights_capacity_bytes,sequence_capacity_bytes,workspace_capacity_bytes,request_transient_capacity_bytes,cuda_graph_allowance_bytes,workspace_peak_bytes,workspace_allocator_peak_bytes,spec_rounds,spec_fallback_steps,spec_acceptance_rate,repetitions,prefill_tok_s_mean,prefill_tok_s_stddev,decode_output_tok_s_mean,decode_output_tok_s_stddev,decode_engine_tok_s_mean,decode_engine_tok_s_stddev,prepare_seconds_mean,prefill_seconds_mean,decode_seconds_mean,total_seconds_mean
pp512,pp,512,0,qwen3_8_27b,folded-ternary,8192,1024,0,full,cuda_graph,bf16,536870912,7189880832,7189886976,857295872,180953088,0,67108864,180953088,90476544,0,0,,5,261.2050423,12.4032654,,,,,8.8734e-06,1.963632028,,1.963680768
pp2048,pp,2048,0,qwen3_8_27b,folded-ternary,8192,1024,0,full,cuda_graph,bf16,536870912,7189880832,7189886976,857295872,180953088,0,67108864,180953088,180953088,0,0,,5,283.235488,4.779949188,,,,,1.38814e-05,7.232378434,,7.232437122
pp8192,pp,8192,0,qwen3_8_27b,folded-ternary,8192,1024,0,full,cuda_graph,bf16,536870912,7189880832,7189886976,857295872,180953088,0,67108864,180953088,180953088,0,0,,5,277.765527,2.098626288,,,,,4.78402e-05,29.49384741,,29.49397243
