2026/09/23 05:05:41.867, 2745 MHz, 121.21 W, 59, 59 %
2026/09/23 05:05:41.967, 2745 MHz, 121.21 W, 59, 59 %
2026/09/23 05:05:42.067, 2745 MHz, 121.21 W, 59, 59 %
2026/09/23 05:05:42.167, 2745 MHz, 121.21 W, 59, 59 %
2026/09/23 05:05:42.267, 2745 MHz, 120.79 W, 59, 55 %
2026/09/23 05:05:42.367, 2745 MHz, 120.79 W, 59, 55 %
2026/09/23 05:05:42.467, 2745 MHz, 120.79 W, 59, 55 %
2026/09/23 05:05:42.567, 2745 MHz, 120.79 W, 59, 55 %
2026/09/23 05:05:42.667, 2745 MHz, 120.79 W, 59, 55 %
2026/09/23 05:05:42.768, 2745 MHz, 120.73 W, 59, 56 %
2026/09/23 05:05:42.868, 2745 MHz, 120.73 W, 59, 56 %
2026/09/23 05:05:42.968, 2745 MHz, 120.73 W, 59, 56 %
2026/09/23 05:05:43.068, 2745 MHz, 120.73 W, 59, 56 %
2026/09/23 05:05:43.168, 2745 MHz, 120.73 W, 59, 56 %
2026/09/23 05:05:43.268, 2745 MHz, 120.55 W, 58, 22 %
2026/09/23 05:05:43.368, 2745 MHz, 120.55 W, 58, 22 %
2026/09/23 05:05:43.468, 2745 MHz, 120.55 W, 58, 22 %
2026/09/23 05:05:43.568, 2745 MHz, 120.55 W, 58, 22 %
2026/09/23 05:05:43.669, 2745 MHz, 120.55 W, 58, 22 %
2026/09/23 05:05:43.769, 2745 MHz, 119.94 W, 58, 0 %
2026/09/23 05:05:43.869, 2745 MHz, 119.94 W, 58, 0 %
2026/09/23 05:05:43.969, 2745 MHz, 119.94 W, 58, 0 %
2026/09/23 05:05:44.069, 2745 MHz, 119.94 W, 58, 0 %
2026/09/23 05:05:44.169, 2745 MHz, 119.94 W, 58, 0 %
2026/09/23 05:05:44.269, 2745 MHz, 119.53 W, 58, 1 %
2026/09/23 05:05:44.369, 2745 MHz, 119.53 W, 58, 1 %
2026/09/23 05:05:44.469, 2745 MHz, 119.53 W, 58, 1 %
2026/09/23 05:05:44.569, 2745 MHz, 119.53 W, 58, 1 %
2026/09/23 05:05:44.670, 2745 MHz, 119.53 W, 58, 1 %
2026/09/23 05:05:44.770, 2745 MHz, 143.45 W, 67, 76 %
2026/09/23 05:05:44.870, 2745 MHz, 143.45 W, 67, 76 %
2026/09/23 05:05:44.970, 2745 MHz, 143.45 W, 67, 76 %
2026/09/23 05:05:45.070, 2745 MHz, 143.45 W, 67, 76 %
2026/09/23 05:05:45.170, 2745 MHz, 143.45 W, 67, 76 %
2026/09/23 05:05:45.270, 2745 MHz, 143.45 W, 67, 76 %
2026/09/23 05:05:45.370, 2745 MHz, 196.13 W, 60, 100 %
2026/09/23 05:05:45.470, 2745 MHz, 196.13 W, 60, 100 %
2026/09/23 05:05:45.570, 2745 MHz, 196.13 W, 60, 100 %
2026/09/23 05:05:45.671, 2745 MHz, 196.13 W, 60, 100 %
2026/09/23 05:05:45.771, 2745 MHz, 196.13 W, 60, 100 %
2026/09/23 05:05:45.871, 2730 MHz, 246.40 W, 62, 100 %
2026/09/23 05:05:45.971, 2730 MHz, 246.40 W, 62, 100 %
2026/09/23 05:05:46.071, 2730 MHz, 246.40 W, 62, 100 %
2026/09/23 05:05:46.171, 2730 MHz, 246.40 W, 62, 100 %
2026/09/23 05:05:46.271, 2745 MHz, 246.40 W, 62, 100 %
2026/09/23 05:05:46.371, 2745 MHz, 230.49 W, 65, 95 %
2026/09/23 05:05:46.471, 2745 MHz, 230.49 W, 65, 95 %
2026/09/23 05:05:46.571, 2745 MHz, 230.49 W, 65, 95 %
2026/09/23 05:05:46.672, 2745 MHz, 230.49 W, 65, 95 %
2026/09/23 05:05:46.772, 2745 MHz, 230.49 W, 65, 95 %
2026/09/23 05:05:46.872, 2730 MHz, 258.93 W, 64, 100 %
2026/09/23 05:05:46.972, 2730 MHz, 258.93 W, 64, 100 %
2026/09/23 05:05:47.072, 2730 MHz, 258.93 W, 64, 100 %
2026/09/23 05:05:47.172, 2730 MHz, 258.93 W, 64, 100 %
2026/09/23 05:05:47.272, 2730 MHz, 345.24 W, 69, 100 %
2026/09/23 05:05:47.372, 2730 MHz, 345.24 W, 69, 100 %
2026/09/23 05:05:47.472, 2730 MHz, 345.24 W, 69, 100 %
2026/09/23 05:05:47.572, 2730 MHz, 345.24 W, 69, 100 %
2026/09/23 05:05:47.673, 2730 MHz, 345.24 W, 69, 100 %
2026/09/23 05:05:47.773, 2730 MHz, 406.94 W, 70, 100 %
2026/09/23 05:05:47.873, 2730 MHz, 406.94 W, 70, 100 %
2026/09/23 05:05:47.973, 2730 MHz, 406.94 W, 70, 100 %
2026/09/23 05:05:48.073, 2730 MHz, 406.94 W, 70, 100 %
2026/09/23 05:05:48.173, 2730 MHz, 406.94 W, 70, 100 %
2026/09/23 05:05:48.273, 2730 MHz, 406.30 W, 66, 100 %
2026/09/23 05:05:48.373, 2730 MHz, 406.30 W, 66, 100 %
2026/09/23 05:05:48.473, 2730 MHz, 406.30 W, 66, 100 %
2026/09/23 05:05:48.573, 2730 MHz, 406.30 W, 66, 100 %
2026/09/23 05:05:48.674, 2730 MHz, 406.30 W, 66, 100 %
2026/09/23 05:05:48.774, 2730 MHz, 386.28 W, 69, 100 %
2026/09/23 05:05:48.874, 2730 MHz, 386.28 W, 69, 100 %
2026/09/23 05:05:48.974, 2730 MHz, 386.28 W, 69, 100 %
2026/09/23 05:05:49.074, 2730 MHz, 386.28 W, 69, 100 %
2026/09/23 05:05:49.174, 2730 MHz, 386.28 W, 69, 100 %
2026/09/23 05:05:49.274, 2730 MHz, 327.99 W, 69, 100 %
2026/09/23 05:05:49.374, 2730 MHz, 327.99 W, 63, 100 %
2026/09/23 05:05:49.474, 2730 MHz, 327.99 W, 63, 100 %
2026/09/23 05:05:49.575, 2730 MHz, 327.99 W, 63, 100 %
2026/09/23 05:05:49.675, 2730 MHz, 327.99 W, 63, 100 %
2026/09/23 05:05:49.775, 2745 MHz, 229.59 W, 66, 100 %
2026/09/23 05:05:49.875, 2745 MHz, 229.59 W, 66, 100 %
2026/09/23 05:05:49.975, 2745 MHz, 229.59 W, 66, 100 %
2026/09/23 05:05:50.075, 2745 MHz, 229.59 W, 66, 100 %
2026/09/23 05:05:50.175, 2745 MHz, 229.59 W, 66, 100 %
2026/09/23 05:05:50.275, 2745 MHz, 229.59 W, 66, 100 %
2026/09/23 05:05:50.375, 2730 MHz, 258.29 W, 67, 100 %
2026/09/23 05:05:50.476, 2730 MHz, 258.29 W, 67, 100 %
2026/09/23 05:05:50.576, 2730 MHz, 258.29 W, 67, 100 %
2026/09/23 05:05:50.676, 2730 MHz, 258.29 W, 67, 100 %
2026/09/23 05:05:50.776, 2730 MHz, 325.88 W, 67, 100 %
2026/09/23 05:05:50.876, 2730 MHz, 325.88 W, 65, 100 %
2026/09/23 05:05:50.976, 2730 MHz, 325.88 W, 65, 100 %
2026/09/23 05:05:51.076, 2730 MHz, 325.88 W, 65, 100 %
2026/09/23 05:05:51.176, 2730 MHz, 325.88 W, 65, 100 %
2026/09/23 05:05:51.276, 2730 MHz, 336.50 W, 68, 100 %
2026/09/23 05:05:51.376, 2730 MHz, 336.50 W, 68, 100 %
2026/09/23 05:05:51.476, 2730 MHz, 336.50 W, 68, 100 %
2026/09/23 05:05:51.577, 2730 MHz, 336.50 W, 68, 100 %
2026/09/23 05:05:51.677, 2730 MHz, 336.50 W, 68, 100 %
2026/09/23 05:05:51.777, 2730 MHz, 328.79 W, 66, 74 %
2026/09/23 05:05:51.877, 2730 MHz, 328.79 W, 66, 74 %
2026/09/23 05:05:51.977, 2730 MHz, 328.79 W, 66, 74 %
2026/09/23 05:05:52.077, 2730 MHz, 328.79 W, 66, 74 %
2026/09/23 05:05:52.177, 2730 MHz, 328.79 W, 66, 74 %
2026/09/23 05:05:52.277, 2745 MHz, 313.36 W, 65, 100 %
2026/09/23 05:05:52.377, 2745 MHz, 313.36 W, 65, 100 %
2026/09/23 05:05:52.478, 2745 MHz, 313.36 W, 65, 100 %
2026/09/23 05:05:52.578, 2745 MHz, 313.36 W, 65, 100 %
2026/09/23 05:05:52.678, 2745 MHz, 313.36 W, 65, 100 %
2026/09/23 05:05:52.778, 2745 MHz, 313.36 W, 65, 100 %
2026/09/23 05:05:52.878, 2730 MHz, 313.18 W, 66, 100 %
2026/09/23 05:05:52.978, 2730 MHz, 313.18 W, 66, 100 %
2026/09/23 05:05:53.078, 2730 MHz, 313.18 W, 66, 100 %
2026/09/23 05:05:53.178, 2730 MHz, 313.18 W, 66, 100 %
2026/09/23 05:05:53.278, 2730 MHz, 313.18 W, 66, 100 %
2026/09/23 05:05:53.378, 2730 MHz, 273.36 W, 62, 100 %
2026/09/23 05:05:53.479, 2730 MHz, 273.36 W, 62, 100 %
2026/09/23 05:05:53.579, 2730 MHz, 273.36 W, 62, 100 %
2026/09/23 05:05:53.679, 2730 MHz, 273.36 W, 62, 100 %
2026/09/23 05:05:53.779, 2730 MHz, 273.36 W, 62, 100 %
2026/09/23 05:05:53.879, 2730 MHz, 220.32 W, 69, 100 %
2026/09/23 05:05:53.979, 2730 MHz, 220.32 W, 69, 100 %
2026/09/23 05:05:54.079, 2730 MHz, 220.32 W, 69, 100 %
2026/09/23 05:05:54.179, 2730 MHz, 220.32 W, 69, 100 %
2026/09/23 05:05:54.279, 2730 MHz, 220.32 W, 69, 100 %
2026/09/23 05:05:54.379, 2730 MHz, 204.99 W, 61, 100 %
2026/09/23 05:05:54.479, 2730 MHz, 204.99 W, 61, 100 %
2026/09/23 05:05:54.580, 2730 MHz, 204.99 W, 61, 100 %
2026/09/23 05:05:54.680, 2730 MHz, 204.99 W, 61, 100 %
2026/09/23 05:05:54.780, 2730 MHz, 204.99 W, 61, 100 %
2026/09/23 05:05:54.880, 2730 MHz, 237.46 W, 67, 100 %
2026/09/23 05:05:54.980, 2730 MHz, 237.46 W, 67, 100 %
2026/09/23 05:05:55.080, 2730 MHz, 237.46 W, 67, 100 %
2026/09/23 05:05:55.180, 2730 MHz, 237.46 W, 67, 100 %
2026/09/23 05:05:55.280, 2730 MHz, 237.46 W, 67, 100 %
2026/09/23 05:05:55.380, 2730 MHz, 294.49 W, 67, 100 %
2026/09/23 05:05:55.481, 2730 MHz, 294.49 W, 66, 100 %
2026/09/23 05:05:55.581, 2730 MHz, 294.49 W, 66, 100 %
2026/09/23 05:05:55.681, 2730 MHz, 294.49 W, 66, 100 %
2026/09/23 05:05:55.781, 2730 MHz, 294.49 W, 66, 100 %
2026/09/23 05:05:55.881, 2730 MHz, 317.86 W, 66, 100 %
2026/09/23 05:05:55.981, 2730 MHz, 317.86 W, 67, 100 %
2026/09/23 05:05:56.081, 2730 MHz, 317.86 W, 67, 100 %
2026/09/23 05:05:56.181, 2730 MHz, 317.86 W, 67, 100 %
2026/09/23 05:05:56.281, 2730 MHz, 317.86 W, 67, 100 %
2026/09/23 05:05:56.381, 2730 MHz, 326.77 W, 67, 100 %
2026/09/23 05:05:56.482, 2730 MHz, 326.77 W, 69, 100 %
2026/09/23 05:05:56.582, 2730 MHz, 326.77 W, 69, 100 %
2026/09/23 05:05:56.682, 2730 MHz, 326.77 W, 69, 100 %
2026/09/23 05:05:56.782, 2730 MHz, 326.77 W, 69, 100 %
2026/09/23 05:05:56.882, 2730 MHz, 329.02 W, 69, 100 %
2026/09/23 05:05:56.982, 2730 MHz, 329.02 W, 65, 100 %
2026/09/23 05:05:57.082, 2730 MHz, 329.02 W, 65, 100 %
2026/09/23 05:05:57.182, 2730 MHz, 329.02 W, 65, 100 %
2026/09/23 05:05:57.282, 2730 MHz, 329.02 W, 65, 100 %
2026/09/23 05:05:57.382, 2730 MHz, 360.77 W, 65, 100 %
2026/09/23 05:05:57.483, 2730 MHz, 360.77 W, 68, 100 %
2026/09/23 05:05:57.583, 2730 MHz, 360.77 W, 68, 100 %
2026/09/23 05:05:57.683, 2730 MHz, 360.77 W, 68, 100 %
2026/09/23 05:05:57.783, 2730 MHz, 360.77 W, 68, 100 %
2026/09/23 05:05:57.883, 2730 MHz, 296.80 W, 66, 100 %
2026/09/23 05:05:57.983, 2730 MHz, 296.80 W, 66, 100 %
2026/09/23 05:05:58.083, 2730 MHz, 296.80 W, 66, 100 %
2026/09/23 05:05:58.183, 2730 MHz, 296.80 W, 66, 100 %
2026/09/23 05:05:58.283, 2730 MHz, 296.80 W, 66, 100 %
2026/09/23 05:05:58.384, 2730 MHz, 296.80 W, 66, 100 %
2026/09/23 05:05:58.484, 2730 MHz, 223.67 W, 62, 100 %
2026/09/23 05:05:58.584, 2730 MHz, 223.67 W, 62, 100 %
2026/09/23 05:05:58.684, 2730 MHz, 223.67 W, 62, 100 %
2026/09/23 05:05:58.784, 2730 MHz, 223.67 W, 62, 100 %
2026/09/23 05:05:58.884, 2730 MHz, 223.67 W, 62, 100 %
2026/09/23 05:05:58.984, 2730 MHz, 238.42 W, 63, 100 %
2026/09/23 05:05:59.084, 2730 MHz, 238.42 W, 63, 100 %
2026/09/23 05:05:59.184, 2730 MHz, 238.42 W, 63, 100 %
2026/09/23 05:05:59.284, 2730 MHz, 238.42 W, 63, 100 %
2026/09/23 05:05:59.385, 2730 MHz, 238.42 W, 63, 100 %
2026/09/23 05:05:59.485, 2730 MHz, 238.42 W, 63, 100 %
2026/09/23 05:05:59.585, 2730 MHz, 251.09 W, 65, 100 %
2026/09/23 05:05:59.685, 2730 MHz, 251.09 W, 65, 100 %
2026/09/23 05:05:59.785, 2730 MHz, 251.09 W, 65, 100 %
2026/09/23 05:05:59.885, 2730 MHz, 251.09 W, 65, 100 %
2026/09/23 05:05:59.985, 2730 MHz, 296.83 W, 70, 100 %
2026/09/23 05:06:00.085, 2730 MHz, 296.83 W, 70, 100 %
2026/09/23 05:06:00.185, 2730 MHz, 296.83 W, 70, 100 %
2026/09/23 05:06:00.285, 2730 MHz, 296.83 W, 70, 100 %
2026/09/23 05:06:00.385, 2730 MHz, 296.83 W, 70, 100 %
2026/09/23 05:06:00.486, 2730 MHz, 328.32 W, 67, 100 %
2026/09/23 05:06:00.586, 2730 MHz, 328.32 W, 67, 100 %
2026/09/23 05:06:00.686, 2730 MHz, 328.32 W, 67, 100 %
2026/09/23 05:06:00.786, 2730 MHz, 328.32 W, 67, 100 %
2026/09/23 05:06:00.886, 2730 MHz, 328.32 W, 67, 100 %
2026/09/23 05:06:00.986, 2730 MHz, 337.07 W, 66, 100 %
2026/09/23 05:06:01.086, 2730 MHz, 337.07 W, 66, 100 %
2026/09/23 05:06:01.186, 2730 MHz, 337.07 W, 66, 100 %
2026/09/23 05:06:01.286, 2730 MHz, 337.07 W, 66, 100 %
2026/09/23 05:06:01.386, 2730 MHz, 337.07 W, 66, 100 %
2026/09/23 05:06:01.487, 2730 MHz, 328.78 W, 71, 100 %
2026/09/23 05:06:01.587, 2730 MHz, 328.78 W, 71, 100 %
2026/09/23 05:06:01.687, 2730 MHz, 328.78 W, 71, 100 %
2026/09/23 05:06:01.787, 2730 MHz, 328.78 W, 71, 100 %
2026/09/23 05:06:01.887, 2730 MHz, 328.78 W, 71, 100 %
2026/09/23 05:06:01.987, 2730 MHz, 376.12 W, 71, 100 %
2026/09/23 05:06:02.087, 2730 MHz, 376.12 W, 71, 100 %
2026/09/23 05:06:02.187, 2730 MHz, 376.12 W, 71, 100 %
2026/09/23 05:06:02.287, 2730 MHz, 376.12 W, 71, 100 %
2026/09/23 05:06:02.388, 2730 MHz, 376.12 W, 71, 100 %
2026/09/23 05:06:02.488, 2730 MHz, 405.67 W, 68, 100 %
2026/09/23 05:06:02.588, 2730 MHz, 405.67 W, 68, 100 %
2026/09/23 05:06:02.688, 2730 MHz, 405.67 W, 68, 100 %
2026/09/23 05:06:02.788, 2730 MHz, 405.67 W, 68, 100 %
2026/09/23 05:06:02.888, 2730 MHz, 405.67 W, 68, 100 %
2026/09/23 05:06:02.988, 2730 MHz, 365.71 W, 69, 100 %
2026/09/23 05:06:03.088, 2730 MHz, 365.71 W, 69, 100 %
2026/09/23 05:06:03.188, 2730 MHz, 365.71 W, 69, 100 %
2026/09/23 05:06:03.288, 2730 MHz, 365.71 W, 69, 100 %
2026/09/23 05:06:03.388, 2730 MHz, 365.71 W, 69, 100 %
2026/09/23 05:06:03.489, 2730 MHz, 345.98 W, 67, 100 %
2026/09/23 05:06:03.589, 2730 MHz, 345.98 W, 67, 100 %
2026/09/23 05:06:03.689, 2730 MHz, 345.98 W, 67, 100 %
2026/09/23 05:06:03.789, 2730 MHz, 345.98 W, 67, 100 %
2026/09/23 05:06:03.889, 2730 MHz, 345.98 W, 67, 100 %
2026/09/23 05:06:03.989, 2715 MHz, 329.51 W, 69, 100 %
2026/09/23 05:06:04.089, 2715 MHz, 329.51 W, 69, 100 %
2026/09/23 05:06:04.189, 2715 MHz, 329.51 W, 69, 100 %
2026/09/23 05:06:04.289, 2715 MHz, 329.51 W, 69, 100 %
2026/09/23 05:06:04.390, 2715 MHz, 329.51 W, 69, 100 %
2026/09/23 05:06:04.490, 2730 MHz, 330.21 W, 69, 100 %
2026/09/23 05:06:04.590, 2730 MHz, 330.21 W, 72, 100 %
