case,suite,label,kind,n_prompt,n_gen,target,weights_id,max_context,prefill_chunk,mtp_draft_tokens,proposal_head,decode_path,kv_cache,kv_payload_bytes,load_host_to_device_bytes,weights_capacity_bytes,sequence_capacity_bytes,workspace_capacity_bytes,request_transient_capacity_bytes,cuda_graph_allowance_bytes,workspace_peak_bytes,workspace_allocator_peak_bytes,spec_rounds,spec_fallback_steps,spec_acceptance_rate,repetitions,prefill_tok_s_mean,prefill_tok_s_stddev,decode_output_tok_s_mean,decode_output_tok_s_stddev,decode_engine_tok_s_mean,decode_engine_tok_s_stddev,prepare_seconds_mean,prefill_seconds_mean,decode_seconds_mean,total_seconds_mean
all__kv-int8,all,pp512+tg128,pp+tg,512,128,qwen3_8_27b,folded-ternary,640,1024,0,full,cuda_graph,int8-group64,21626880,5930360832,5930366976,338119424,113095680,0,67108864,113095680,90476544,0,0,,5,43.77065572,0.6063318984,16.38457146,0.3730078111,16.38457146,0.3730078111,1.19294e-05,11.69912862,7.815473574,19.51563363
all__kv-rk8v4,all,pp512+tg128,pp+tg,512,128,qwen3_8_27b,folded-ternary,640,1024,0,full,cuda_graph,rk8v4,16384000,5930360832,5930366976,332876544,113095680,0,67108864,113095680,90476544,0,0,,5,43.45586638,0.4118874533,16.65093631,0.3170827664,16.65093631,0.3170827664,9.9234e-06,11.78292124,7.689511817,19.47328382
all__kv-rk4v4,all,pp512+tg128,pp+tg,512,128,qwen3_8_27b,folded-ternary,640,1024,0,full,cuda_graph,rk4v4,11141120,5930360832,5930366976,327633664,113095680,0,67108864,113095680,90476544,0,0,,5,44.1139991,0.9959791502,16.5372132,0.3495178934,16.5372132,0.3495178934,9.749e-06,11.61095765,7.742962085,19.35478666
all__kv-rk4v4-e8,all,pp512+tg128,pp+tg,512,128,qwen3_8_27b,folded-ternary,640,1024,0,full,cuda_graph,rk4v4-e8,11141120,5930360832,5930366976,327633664,113095680,0,67108864,113095680,90476544,0,0,,5,43.66914146,0.1098773496,16.58639305,0.2236909767,16.58639305,0.2236909767,8.2662e-06,11.72458575,7.718288668,19.4436316
all__kv-rk2v4-e8,all,pp512+tg128,pp+tg,512,128,qwen3_8_27b,folded-ternary,640,1024,0,full,cuda_graph,rk2v4-e8,8519680,5930360832,5930366976,325012224,113095680,0,67108864,113095680,90476544,0,0,,5,43.22665476,0.6077676825,16.48840798,0.1429759412,16.48840798,0.1429759412,9.0378e-06,11.84644821,7.763498095,19.61067897
all__mtp-off,all,pp512+tg128,pp+tg,512,128,qwen3_8_27b,folded-ternary,640,1024,0,full,cuda_graph,bf16,41943040,5930360832,5930366976,358435584,113095680,0,67108864,113095680,90476544,0,0,,5,43.88454679,0.6546364199,16.49233576,0.3100615354,16.49233576,0.3100615354,8.6872e-06,11.66905279,7.763373623,19.43308371
all__mtp-draft4,all,pp512+tg128,pp+tg,512,128,qwen3_8_27b,folded-ternary,648,1024,4,optimized,mtp_cuda_graph,bf16,49283072,6738668544,6738674688,377418496,114016768,0,268435456,114016768,90476544,280,0,0.3257918552,5,43.94843832,0.5501297035,12.52463586,0.3292926042,12.52463586,0.3292926042,1.25084e-05,11.65146095,10.22544849,21.87781469
all__mtp-draft8-nograph,all,pp512+tg128,pp+tg,512,128,qwen3_8_27b,folded-ternary,656,1024,8,optimized,mtp_eager,bf16,49283072,6738668544,6738674688,386720512,114937344,0,0,114937344,90476544,280,0,0.1658986175,5,44.62015288,0.8065087389,1.73488358,0.05880194261,1.73488358,0.05880194261,9.1902e-06,11.47763594,73.84939789,85.32796005
all__graph-on,all,pp512+tg128,pp+tg,512,128,qwen3_8_27b,folded-ternary,640,1024,0,full,cuda_graph,bf16,41943040,5930360832,5930366976,358435584,113095680,0,67108864,113095680,90476544,0,0,,5,41.91187426,0.491117334,16.50939911,0.2234611041,16.50939911,0.2234611041,2.12598e-05,12.21744868,7.754294577,19.97294007
all__graph-off,all,pp512+tg128,pp+tg,512,128,qwen3_8_27b,folded-ternary,640,1024,0,full,eager,bf16,41943040,5930360832,5930366976,358435584,113095680,0,0,113095680,90476544,0,0,,5,44.42312082,0.5381767015,5.019312116,0.6248036726,5.019312116,0.6248036726,2.11896e-05,11.52688816,25.78128459,37.31015993
