case,suite,label,kind,n_prompt,n_gen,target,weights_id,max_context,prefill_chunk,mtp_draft_tokens,proposal_head,decode_path,kv_cache,kv_payload_bytes,load_host_to_device_bytes,weights_capacity_bytes,sequence_capacity_bytes,workspace_capacity_bytes,request_transient_capacity_bytes,cuda_graph_allowance_bytes,workspace_peak_bytes,workspace_allocator_peak_bytes,spec_rounds,spec_fallback_steps,spec_acceptance_rate,repetitions,prefill_tok_s_mean,prefill_tok_s_stddev,decode_output_tok_s_mean,decode_output_tok_s_stddev,decode_engine_tok_s_mean,decode_engine_tok_s_stddev,prepare_seconds_mean,prefill_seconds_mean,decode_seconds_mean,total_seconds_mean
all__panel,all,pp512,pp,512,0,qwen3_8_27b,folded-ternary,2048,1024,0,full,cuda_graph,bf16,134217728,5930360832,5930366976,454642432,180953088,0,67108864,180953088,90476544,0,0,,5,43.89482935,0.6413421797,,,,,8.9238e-06,11.66623029,,11.66628049
all__panel,all,pp2048,pp,2048,0,qwen3_8_27b,folded-ternary,2048,1024,0,full,cuda_graph,bf16,134217728,5930360832,5930366976,454642432,180953088,0,67108864,180953088,180953088,0,0,,5,51.0554879,0.2456618784,,,,,1.75546e-05,40.11396357,,40.11403563
all__panel,all,tg128,tg,0,128,qwen3_8_27b,folded-ternary,2048,1024,0,full,cuda_graph,bf16,134217728,5930360832,5930366976,454642432,180953088,0,67108864,180953088,142336,0,0,,5,,,16.41420017,0.1457103237,16.41420017,0.1457103237,1.5948e-06,,7.798616439,8.124618515
all__panel,all,pp512+tg128,pp+tg,512,128,qwen3_8_27b,folded-ternary,2048,1024,0,full,cuda_graph,bf16,134217728,5930360832,5930366976,454642432,180953088,0,67108864,180953088,90476544,0,0,,5,44.31577896,0.2268117353,16.25771662,0.3674761059,16.25771662,0.3674761059,1.19334e-05,11.55368928,7.876438083,19.43109507
all__prefill,all,pp512,pp,512,0,qwen3_8_27b,folded-ternary,8192,1024,0,full,cuda_graph,bf16,536870912,5930360832,5930366976,857295872,180953088,0,67108864,180953088,90476544,0,0,,5,43.89209161,0.4733686128,,,,,1.66448e-05,11.66606528,,11.66615638
all__prefill,all,pp2048,pp,2048,0,qwen3_8_27b,folded-ternary,8192,1024,0,full,cuda_graph,bf16,536870912,5930360832,5930366976,857295872,180953088,0,67108864,180953088,180953088,0,0,,5,49.45822235,0.452401433,,,,,1.92118e-05,41.41146639,,41.41154638
all__prefill,all,pp8192,pp,8192,0,qwen3_8_27b,folded-ternary,8192,1024,0,full,cuda_graph,bf16,536870912,5930360832,5930366976,857295872,180953088,0,67108864,180953088,180953088,0,0,,5,49.32768193,0.1617766976,,,,,8.97766e-05,166.0745086,,166.0747253
all__decode,all,tg128,tg,0,128,qwen3_8_27b,folded-ternary,513,1024,0,full,cuda_graph,bf16,37748736,5930360832,5930366976,352940800,90592256,0,67108864,90592256,142336,0,0,,5,,,16.3934182,0.2888539854,16.3934182,0.2888539854,1.6292e-06,,7.80994609,8.083392777
all__decode,all,tg512,tg,0,512,qwen3_8_27b,folded-ternary,513,1024,0,full,cuda_graph,bf16,37748736,5930360832,5930366976,352940800,90592256,0,67108864,90592256,142336,0,0,,5,,,16.36169128,0.04988740153,16.36169128,0.04988740153,1.2064e-06,,31.29284141,31.56329924
all__kv-bf16,all,pp512+tg128,pp+tg,512,128,qwen3_8_27b,folded-ternary,640,1024,0,full,cuda_graph,bf16,41943040,5930360832,5930366976,358435584,113095680,0,67108864,113095680,90476544,0,0,,5,43.15208424,0.689585752,16.54173924,0.2198524873,16.54173924,0.2198524873,9.2262e-06,11.86742134,7.739097084,19.60723229
