label,kind,n_prompt,n_gen,target,weights_id,max_context,prefill_chunk,mtp_draft_tokens,proposal_head,decode_path,kv_cache,kv_payload_bytes,load_host_to_device_bytes,weights_capacity_bytes,sequence_capacity_bytes,workspace_capacity_bytes,request_transient_capacity_bytes,cuda_graph_allowance_bytes,workspace_peak_bytes,workspace_allocator_peak_bytes,spec_rounds,spec_fallback_steps,spec_acceptance_rate,repetitions,prefill_tok_s_mean,prefill_tok_s_stddev,decode_output_tok_s_mean,decode_output_tok_s_stddev,decode_engine_tok_s_mean,decode_engine_tok_s_stddev,prepare_seconds_mean,prefill_seconds_mean,decode_seconds_mean,total_seconds_mean
pp512,pp,512,0,qwen3_8_27b,folded-ternary,2048,1024,0,full,cuda_graph,bf16,134217728,5930360832,5930366976,454642432,180953088,0,67108864,180953088,90476544,0,0,,5,43.89482935,0.6413421797,,,,,8.9238e-06,11.66623029,,11.66628049
pp2048,pp,2048,0,qwen3_8_27b,folded-ternary,2048,1024,0,full,cuda_graph,bf16,134217728,5930360832,5930366976,454642432,180953088,0,67108864,180953088,180953088,0,0,,5,51.0554879,0.2456618784,,,,,1.75546e-05,40.11396357,,40.11403563
tg128,tg,0,128,qwen3_8_27b,folded-ternary,2048,1024,0,full,cuda_graph,bf16,134217728,5930360832,5930366976,454642432,180953088,0,67108864,180953088,142336,0,0,,5,,,16.41420017,0.1457103237,16.41420017,0.1457103237,1.5948e-06,,7.798616439,8.124618515
pp512+tg128,pp+tg,512,128,qwen3_8_27b,folded-ternary,2048,1024,0,full,cuda_graph,bf16,134217728,5930360832,5930366976,454642432,180953088,0,67108864,180953088,90476544,0,0,,5,44.31577896,0.2268117353,16.25771662,0.3674761059,16.25771662,0.3674761059,1.19334e-05,11.55368928,7.876438083,19.43109507
