label,kind,n_prompt,n_gen,target,weights_id,max_context,prefill_chunk,mtp_draft_tokens,proposal_head,decode_path,kv_cache,kv_payload_bytes,load_host_to_device_bytes,weights_capacity_bytes,sequence_capacity_bytes,workspace_capacity_bytes,request_transient_capacity_bytes,cuda_graph_allowance_bytes,workspace_peak_bytes,workspace_allocator_peak_bytes,spec_rounds,spec_fallback_steps,spec_acceptance_rate,repetitions,prefill_tok_s_mean,prefill_tok_s_stddev,decode_output_tok_s_mean,decode_output_tok_s_stddev,decode_engine_tok_s_mean,decode_engine_tok_s_stddev,prepare_seconds_mean,prefill_seconds_mean,decode_seconds_mean,total_seconds_mean
pp512,pp,512,0,qwen3_8_27b,folded-ternary,8192,1024,0,full,cuda_graph,bf16,536870912,7189880832,7189886976,857295872,180953088,0,67108864,180953088,90476544,0,0,,5,250.9449059,16.07507239,,,,,8.134e-06,2.047290999,,2.047349289
pp2048,pp,2048,0,qwen3_8_27b,folded-ternary,8192,1024,0,full,cuda_graph,bf16,536870912,7189880832,7189886976,857295872,180953088,0,67108864,180953088,180953088,0,0,,5,264.0962664,4.468635569,,,,,1.57912e-05,7.756528338,,7.756599415
pp8192,pp,8192,0,qwen3_8_27b,folded-ternary,8192,1024,0,full,cuda_graph,bf16,536870912,7189880832,7189886976,857295872,180953088,0,67108864,180953088,180953088,0,0,,5,268.7193723,0.8269726656,,,,,4.93254e-05,30.48556527,,30.48570681
