label,kind,n_prompt,n_gen,target,weights_id,max_context,prefill_chunk,mtp_draft_tokens,proposal_head,decode_path,kv_cache,kv_payload_bytes,load_host_to_device_bytes,weights_capacity_bytes,sequence_capacity_bytes,workspace_capacity_bytes,request_transient_capacity_bytes,cuda_graph_allowance_bytes,workspace_peak_bytes,workspace_allocator_peak_bytes,spec_rounds,spec_fallback_steps,spec_acceptance_rate,repetitions,prefill_tok_s_mean,prefill_tok_s_stddev,decode_output_tok_s_mean,decode_output_tok_s_stddev,decode_engine_tok_s_mean,decode_engine_tok_s_stddev,prepare_seconds_mean,prefill_seconds_mean,decode_seconds_mean,total_seconds_mean
pp512,pp,512,0,qwen3_8_27b,folded-ternary,8192,1024,0,full,cuda_graph,bf16,536870912,5930360832,5930366976,857295872,180953088,0,67108864,180953088,90476544,0,0,,5,42.93735858,0.7396502615,,,,,8.878e-06,11.9271452,,11.92720388
pp2048,pp,2048,0,qwen3_8_27b,folded-ternary,8192,1024,0,full,cuda_graph,bf16,536870912,5930360832,5930366976,857295872,180953088,0,67108864,180953088,180953088,0,0,,5,50.32722993,0.4746676293,,,,,1.62238e-05,40.69657998,,40.69666107
pp8192,pp,8192,0,qwen3_8_27b,folded-ternary,8192,1024,0,full,cuda_graph,bf16,536870912,5930360832,5930366976,857295872,180953088,0,67108864,180953088,180953088,0,0,,5,50.32779776,0.1850490081,,,,,6.77212e-05,162.7746311,,162.7748104
