label,kind,n_prompt,n_gen,target,weights_id,max_context,prefill_chunk,mtp_draft_tokens,proposal_head,decode_path,kv_cache,kv_payload_bytes,load_host_to_device_bytes,weights_capacity_bytes,sequence_capacity_bytes,workspace_capacity_bytes,request_transient_capacity_bytes,cuda_graph_allowance_bytes,workspace_peak_bytes,workspace_allocator_peak_bytes,spec_rounds,spec_fallback_steps,spec_acceptance_rate,repetitions,prefill_tok_s_mean,prefill_tok_s_stddev,decode_output_tok_s_mean,decode_output_tok_s_stddev,decode_engine_tok_s_mean,decode_engine_tok_s_stddev,prepare_seconds_mean,prefill_seconds_mean,decode_seconds_mean,total_seconds_mean
pp512,pp,512,0,qwen3_8_27b,folded-ternary,2048,1024,0,full,cuda_graph,bf16,134217728,5930360832,5930366976,454642432,180953088,0,67108864,180953088,90476544,0,0,,5,44.52550284,0.7879082811,,,,,1.28674e-05,11.50191931,,11.50200642
pp2048,pp,2048,0,qwen3_8_27b,folded-ternary,2048,1024,0,full,cuda_graph,bf16,134217728,5930360832,5930366976,454642432,180953088,0,67108864,180953088,180953088,0,0,,5,50.75222169,0.2903013047,,,,,1.68414e-05,40.3539695,,40.35405875
tg128,tg,0,128,qwen3_8_27b,folded-ternary,2048,1024,0,full,cuda_graph,bf16,134217728,5930360832,5930366976,454642432,180953088,0,67108864,180953088,142336,0,0,,5,,,16.29304756,0.2304995301,16.29304756,0.2304995301,1.59492e-05,,7.857372814,8.232556562
pp512+tg128,pp+tg,512,128,qwen3_8_27b,folded-ternary,2048,1024,0,full,cuda_graph,bf16,134217728,5930360832,5930366976,454642432,180953088,0,67108864,180953088,90476544,0,0,,5,44.23439864,0.6234430019,16.1592926,0.29424293,16.1592926,0.29424293,8.5408e-06,11.5765488,7.923258167,19.500615
